id,action,actionLastChangedAt,batchID,batchIDLastChangedAt,condition,conditionLastChangedAt,context,contextLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,question,questionLastChangedAt,scenario,scenarioLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01K2QAYF49M1XKEDSX4J7HFTAH,"John just bought a brand new pair of dress shoes. In the hallway out front Maria’s apartment, he takes the shoes out of the box for the first time and puts them on. John then walks around Maria’s apartment in his pristine dress shoes.",2025-08-15T13:02:56.649176-04:00,01K2QAWKF5V6255MQC4V1D9FQT,2025-08-15T13:02:56.649176-04:00,overinclusion,2025-08-15T13:02:56.649176-04:00,"One day, a guest entered Maria’s house with his shoes on and dirtied the carpet in her living room. In order to keep her house as clean as possible, Maria established that “Wearing shoes in the house is not allowed”.",2025-08-15T13:02:56.649176-04:00,true,2025-08-15T13:02:58.446572-04:00,01K2QAWKFQGR9NZ4Q4VW0SB00G,2025-08-15T13:02:56.649176-04:00,1,2025-08-15T13:02:56.649176-04:00,0,2025-08-15T13:02:56.649176-04:00,Did John break the rule?,2025-08-15T13:02:56.649176-04:00,shoes,2025-08-15T13:02:56.649176-04:00,1,2025-08-15T13:02:56.675442-04:00,true,2025-08-15T13:02:56.889557-04:00
01K2QB4YFCWYV3WCCG099BAETM,"Joan has no interest in math class, so she decides to groom herself instead. She takes a nail clipper and file from her purse and begins to cut and file her fingernails, allowing the clippings to fall onto the classroom floor.",2025-08-15T13:06:28.972592-04:00,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:06:28.972592-04:00,underinclusion,2025-08-15T13:06:28.972592-04:00,"Students who snack during class often drop their food in the classroom. To keep the classrooms clean, the school has decided to ban food in the classroom.",2025-08-15T13:06:28.972592-04:00,true,2025-08-15T13:06:54.36182-04:00,01K2QB1FN0RTA59BMSCCQHNFDR,2025-08-15T13:06:28.972592-04:00,5,2025-08-15T13:06:28.972592-04:00,4,2025-08-15T13:06:28.972592-04:00,Did Joan break the rule?,2025-08-15T13:06:28.972592-04:00,classroom,2025-08-15T13:06:28.972592-04:00,1,2025-08-15T13:06:29.025209-04:00,true,2025-08-15T13:06:49.8993-04:00
01K2QB2P444WN3XMF2XVWG99NZ,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-08-15T13:05:14.8842-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.8842-04:00,overinclusion,2025-08-15T13:05:14.8842-04:00,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver’s vehicle will be seized and the driver subject to imprisonment.""",2025-08-15T13:05:14.8842-04:00,true,2025-08-15T13:05:54.479312-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.8842-04:00,8,2025-08-15T13:05:14.8842-04:00,7,2025-08-15T13:05:14.8842-04:00,Did Andrea break the rule?,2025-08-15T13:05:14.8842-04:00,driving,2025-08-15T13:05:14.8842-04:00,1,2025-08-15T13:05:14.951692-04:00,true,2025-08-15T13:05:45.095681-04:00
01K2QB4YF8HHX19RAG8Y5CBGM9,Joanna walks into the park. She takes a long and relaxing stroll observing the trees and birds.,2025-08-15T13:06:28.968903-04:00,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:06:28.968903-04:00,compliance,2025-08-15T13:06:28.968903-04:00,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: “No cars are allowed inside the park”.",2025-08-15T13:06:28.968903-04:00,true,2025-08-15T13:06:40.077437-04:00,01K2QB1FN0RTA59BMSCCQHNFDR,2025-08-15T13:06:28.968903-04:00,2,2025-08-15T13:06:28.968903-04:00,1,2025-08-15T13:06:28.968903-04:00,Did Joanna break the rule?,2025-08-15T13:06:28.968903-04:00,vehicles,2025-08-15T13:06:28.968903-04:00,1,2025-08-15T13:06:29.000984-04:00,true,2025-08-15T13:06:34.56378-04:00
01K2QB75VW5SK9VYH44A6HBRJ5,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-08-15T13:07:42.07659-04:00,01K2QB1V25FDAP7C3B0JZFSW0F,2025-08-15T13:07:42.07659-04:00,violation,2025-08-15T13:07:42.07659-04:00,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: “No cars are allowed inside the park”.",2025-08-15T13:07:42.07659-04:00,true,2025-08-15T13:08:03.669117-04:00,01K2QB1V2QW2F16B5TXV6VK2ZT,2025-08-15T13:07:42.07659-04:00,5,2025-08-15T13:07:42.07659-04:00,4,2025-08-15T13:07:42.07659-04:00,Did John break the rule?,2025-08-15T13:07:42.07659-04:00,vehicles,2025-08-15T13:07:42.07659-04:00,1,2025-08-15T13:07:42.132259-04:00,true,2025-08-15T13:07:59.222271-04:00
01K2QAZWVA49P876ZMF3GYHMNF,"Marcos, a student at Figuria University, borrows some books from the library. To help him study, he takes notes on the page margins. This helps Marcos make connections between important points in his assigned readings. After finishing his study, he meticulously erases all his notes, and returns the books in the same condition he borrowed them in.",2025-08-15T13:03:43.466817-04:00,01K2QAWXBGEB3B9E2DG8G4BRJN,2025-08-15T13:03:43.466817-04:00,overinclusion,2025-08-15T13:03:43.466817-04:00,"After noticing damage to returned library books, the Figuria University Library created the following rule: “Making notes and scribbling on library-owned books is strictly forbidden”.",2025-08-15T13:03:43.466817-04:00,true,2025-08-15T13:03:47.906184-04:00,01K2QAWXC1FZZAQ9RXE3A2H2A9,2025-08-15T13:03:43.466817-04:00,4,2025-08-15T13:03:43.466817-04:00,3,2025-08-15T13:03:43.466817-04:00,Did Marcos break the rule?,2025-08-15T13:03:43.466817-04:00,library,2025-08-15T13:03:43.466817-04:00,1,2025-08-15T13:03:43.513255-04:00,true,2025-08-15T13:03:46.818864-04:00
01K2QB2P4025N9CMNF4VME5D89,"Richard is a homeless person. At the end of the day, he lies down on a bench at the station, resting his head on a makeshift pillow and wrapped in an old blanket. However, Richard never actually sleeps.",2025-08-15T13:05:14.880507-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.880507-04:00,underinclusion,2025-08-15T13:05:14.880507-04:00,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: “No sleeping is allowed on the station benches”.",2025-08-15T13:05:14.880507-04:00,true,2025-08-15T13:05:45.068958-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.880507-04:00,7,2025-08-15T13:05:14.880507-04:00,6,2025-08-15T13:05:14.880507-04:00,Did Richard break the rule?,2025-08-15T13:05:14.880507-04:00,sleep,2025-08-15T13:05:14.880507-04:00,1,2025-08-15T13:05:14.944485-04:00,true,2025-08-15T13:05:39.865033-04:00
01K2QAZ5T0VB793TQEDFBEP008,"Anna goes for a walk on the paths of the Aurontown National Park and reaches the site of the reforestation project. Without harming the native shrubs, Anna skips over the fence to take a photo of the sunset.",2025-08-15T13:03:19.873014-04:00,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:03:19.873014-04:00,overinclusion,2025-08-15T13:03:19.873014-04:00,"As a result of changing weather, the native flora in Aurontown is disappearing. The environmental committee has initiated a reforestation project to replant native shrubs in the Aurontown National Park, which will gradually restore the regional flora. So people will not damage the native shrubs, park authorities have laid a fence around the reforestation site, and posted signs that say: “No park visitors beyond this point”.",2025-08-15T13:03:19.873014-04:00,true,2025-08-15T13:03:21.62659-04:00,01K2QAWQJXX669KX4WQBJPYGMV,2025-08-15T13:03:19.873014-04:00,1,2025-08-15T13:03:19.873014-04:00,0,2025-08-15T13:03:19.873014-04:00,Did Anna break the rule?,2025-08-15T13:03:19.873014-04:00,environment,2025-08-15T13:03:19.873014-04:00,1,2025-08-15T13:03:19.897915-04:00,true,2025-08-15T13:03:20.10583-04:00
01K2QB2P3ZDCZF5N0QM901WBCQ,The city's championship-winning team parades in a big limo inside the park to celebrate the title. The limo proceeds very slowly and police scouts on the ground ensure no parkgoer gets too close.,2025-08-15T13:05:14.879131-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.879131-04:00,overinclusion,2025-08-15T13:05:14.879131-04:00,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: “No cars are allowed inside the park”.",2025-08-15T13:05:14.879131-04:00,true,2025-08-15T13:05:35.370642-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.879131-04:00,5,2025-08-15T13:05:14.879131-04:00,4,2025-08-15T13:05:14.879131-04:00,Did the team break the rule?,2025-08-15T13:05:14.879131-04:00,vehicles,2025-08-15T13:05:14.879131-04:00,1,2025-08-15T13:05:14.929424-04:00,true,2025-08-15T13:05:32.075504-04:00
01K2QB75VZA1YH7RDRX6WC2PGT,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-08-15T13:07:42.079362-04:00,01K2QB1V25FDAP7C3B0JZFSW0F,2025-08-15T13:07:42.079362-04:00,overinclusion,2025-08-15T13:07:42.079362-04:00,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver’s vehicle will be seized and the driver subject to imprisonment.""",2025-08-15T13:07:42.079362-04:00,true,2025-08-15T13:08:15.738784-04:00,01K2QB1V2QW2F16B5TXV6VK2ZT,2025-08-15T13:07:42.079362-04:00,8,2025-08-15T13:07:42.079362-04:00,7,2025-08-15T13:07:42.079362-04:00,Did Andrea break the rule?,2025-08-15T13:07:42.079362-04:00,driving,2025-08-15T13:07:42.079362-04:00,1,2025-08-15T13:07:42.174897-04:00,true,2025-08-15T13:08:11.740688-04:00
